,Règlements de compte entre malfaiteurs,Homicides pour voler et à l'occasion de vols,Homicides pour d'autres motifs,Tentatives d'homicides pour voler et à l'occasion de vols,Tentatives homicides pour d'autres motifs,Coups et blessures volontaires suivis de mort,Autres coups et blessures volontaires criminels ou correctionnels,Prises d'otages à l'occasion de vols,Prises d'otages dans un autre but,Sequestrations,Menaces ou chantages pour extorsion de fonds,Menaces ou chantages dans un autre but,Atteintes à la dignité et à la personnalité,Violations de domicile,Vols à main armée contre des établissements financiers,Vols à main armée contre des établissements industriels ou commerciaux,Vols à main armée contre des entreprises de transports de fonds,Vols à main armée contre des particuliers à leur domicile,Autres vols à main armée,"Vols avec armes blanches contre des établissements financiers,commerciaux ou industriels",Vols avec armes blanches contre des particuliers à leur domicile,Autres vols avec armes blanches,"Vols violents sans arme contre des établissements financiers,commerciaux ou industriels",Vols violents sans arme contre des particuliers à leur domicile,Vols violents sans arme contre des femmes sur voie publique ou autre lieu public,Vols violents sans arme contre d'autres victimes,Cambriolages de locaux d'habitations principales,Cambriolages de résidences secondaires,"Cambriolages de locaux industriels, commerciaux ou financiers",Cambriolages d'autres lieux,Vols avec entrée par ruse en tous lieux,Vols à la tire,Vols à l'étalage,Vols de véhicules de transport avec frêt,Vols d'automobiles,Vols de véhicules motorisés à 2 roues,Vols à la roulotte,Vols d'accessoires sur véhicules à moteur immatriculés,Vols simples sur chantier,Vols simples sur exploitations agricoles,Autres vols simples contre des établissements publics ou privés,Autres vols simples contre des particuliers dans deslocaux privés,Autres vols simples contre des particuliers dans des locaux ou lieux publics,Recels,Proxénétisme,Viols sur des majeur(e)s,Viols sur des mineur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des majeur(e)s,Harcèlements sexuels et autres agressions sexuelles contre des mineur(e)s,Atteintes sexuelles,Homicides commis contre enfants de moins de 15 ans,"Violences, mauvais traitements et abandons d'enfants.",Délits au sujet de la garde des mineurs,Non versement de pension alimentaire,Trafic et revente sans usage de stupéfiants,Usage-revente de stupéfiants,Usage de stupéfiants,Autres infractions à la législation sur les stupéfiants,Délits de débits de boissons et infraction à la règlementation sur l'alcool et le tabac,Fraudes alimentaires et infractions à l'hygiène,Autres délits contre santé publique et la réglementation des professions médicales,Incendies volontaires de biens publics,Incendies volontaires de biens privés,Attentats à l'explosif contre des biens publics,Attentats à l'explosif contre des biens privés,Autres destructions er dégradations de biens publics,Autres destructions er dégradations de biens privés,Destructions et dégradations de véhicules privés
2012,73,35,651,71,1475,140,207411,25,21,2161,9727,81355,28599,8291,232,3279,43,703,1935,1044,686,7340,825,1509,57037,54777,230045,15438,62858,59918,8215,101756,70535,348,114605,69223,254303,126398,16945,10251,79367,192970,348899,38714,541,5240,6388,6165,10457,14154,50,22215,28000,15706,6316,15932,165789,8522,1052,537,451,4399,33722,13,147,36382,121266,150942
2011,60,44,720,55,1259,130,206350,22,14,2301,9656,75842,31236,8278,239,3298,64,817,2043,1128,762,7803,876,1499,52019,55333,212403,14691,66153,55073,8907,90075,68299,289,119602,72676,257435,120949,18963,8884,80734,207728,338732,38467,502,5271,5875,5643,8422,16320,58,18588,27776,14760,6383,17872,159424,9347,1089,579,782,5072,35755,23,90,36483,119390,153612
2010,50,42,653,65,1144,136,206310,21,17,2148,10163,76068,31465,8146,336,3789,43,769,2120,1236,749,8345,956,1585,51153,54922,182772,14387,74405,59918,8274,90519,71471,294,124678,76417,282422,129603,18116,7878,78021,203672,318403,38822,452,5010,5870,4966,8513,14900,49,17735,27561,14846,6311,19025,147054,8328,1086,612,343,5516,38644,29,117,41074,127599,176099
2009,56,31,647,65,999,163,206160,25,28,2094,9538,74404,32545,8402,393,4301,29,836,2249,1172,725,8068,962,1530,45098,51703,173108,15653,73818,62702,9591,89996,69755,301,131164,82354,298681,136408,15773,7210,76957,204418,311246,39022,492,4819,5722,5312,8594,15597,70,16505,26649,15291,6447,18874,144948,11096,995,633,270,5768,40368,36,98,43455,136833,193014
2008,138,37,753,69,1085,211,199111,21,21,2103,9706,72712,34019,8279,430,3596,31,727,2039,889,634,8067,866,1452,42125,49898,160299,14911,72628,63180,9974,89320,63021,381,135123,82662,302039,141007,18107,7851,83263,201433,309594,42577,457,4849,6060,5327,8961,16374,46,15878,26597,14950,6479,19374,143045,15786,873,594,287,5486,36004,45,129,45518,145442,212752
2007,63,44,803,67,1086,203,186727,22,16,2135,10543,70633,29286,8565,419,2938,46,582,1901,870,663,9174,923,1382,44843,53054,159041,15522,83274,67831,10259,97516,60950,402,147682,83724,336125,148438,17426,6588,81886,206389,322565,39671,463,4910,5875,5090,8493,16113,80,14775,25735,14258,6094,17023,124223,15152,718,537,290,6076,40278,102,211,44846,151338,228341
2006,93,50,779,53,1127,212,173666,45,26,2287,10664,69973,27901,8669,574,3005,37,680,2238,899,662,10704,1001,1604,50535,59821,170871,16490,90413,71631,11395,106233,61118,559,162775,87698,359998,157096,17442,6251,84248,211414,357989,41438,491,4720,5696,4979,8546,16556,86,13952,27555,15225,6161,17565,118809,13951,781,536,222,5990,38323,84,272,45309,163918,249451
2005,113,51,895,89,1153,240,157092,37,27,2007,9657,67778,24982,8698,734,2929,56,654,2373,915,758,10656,1052,1727,49693,58276,173873,18357,90324,76675,12465,106587,61579,558,179952,88863,371063,169144,14808,6907,83241,212767,370279,39864,572,4684,5997,4854,9293,17513,71,12835,26850,15516,6341,15857,109179,13620,980,608,171,7143,43452,115,231,46654,177648,269357
2004,123,56,894,81,1134,219,144832,49,16,2132,9475,63818,22226,8823,867,3312,41,547,2501,1017,831,11048,1092,1773,47204,53305,189902,22946,96259,83920,11965,109170,63033,760,203421,91590,404782,183975,13961,8494,89511,214390,357239,41015,565,4492,6507,5340,10830,17455,74,11586,26942,15538,6557,14889,106672,13616,1008,500,163,5127,30244,120,258,43385,174587,262726
2003,122,70,880,108,1215,223,141700,45,34,2002,9569,60547,19302,8716,995,3542,37,632,3102,1226,899,12799,1267,1784,48531,55305,201170,25506,105918,90807,13281,115424,64223,856,237151,99615,449255,199675,13742,8497,90547,218615,342698,39319,551,4583,6372,5164,10554,14742,71,11353,26464,14602,6424,14120,93789,12652,827,614,136,5550,31743,119,314,44712,187328,279305
2002,146,54,936,128,1274,206,129910,76,37,2102,9213,54638,17880,8535,1300,4454,30,746,3724,1279,960,14554,1509,1788,50488,56909,203106,29313,118149,96732,13992,121242,64596,1183,290960,99849,498606,223207,15089,8500,92457,209242,310662,38604,501,4397,6429,5064,10913,11348,101,10167,25038,13591,5365,12422,82699,10152,768,654,147,5638,34478,130,407,47898,199035,309447
2001,109,62,905,112,1227,237,121154,44,35,1855,8827,48240,15571,7581,1376,4407,42,780,3984,1345,923,15991,1550,1817,49715,57167,192997,26763,114118,97771,15911,112184,64424,1259,321158,107179,521631,219970,14937,7109,87975,203584,306556,34527,379,3960,6018,4989,10660,10488,88,9903,23125,13460,4212,10865,71283,7430,832,926,212,5077,30451,108,261,45459,189385,311892
2000,84,63,949,116,1059,195,110422,42,31,1637,8857,41288,13118,6953,1291,4073,65,826,3422,1168,835,14590,1337,2005,37956,46509,170948,23072,100317,90174,15008,101810,57853,1104,308801,101253,491806,195761,14676,6444,77248,191295,297211,33232,381,3448,5330,4803,9667,10866,84,9826,20646,12912,4461,13704,78076,7353,841,1354,179,4319,25008,83,205,39779,168867,285576
